,0
1105,The Taker Trilogy
1106,The Artists Trilogy
1107,Newsoul
1108,The Rocker
1109,The Rephaim
1110,Edelstein-Trilogie
1111,New England Witch Chronicles
1112,Millionaire's Row
1113,Lobo
1114,The Coincidence
1115,Reign of Shadows
1116,Schattentraum
1117,DCI Tom Douglas
1118,Nearly Boswell 
1119,Quincunx
1120,Survivors
1121,Dorothy Must Die
1122,Hannah Swensen
1123,Grey Land
1124,Frostblood Saga
1125,An Ember in the Ashes
1126,The Royals
1127,Amgash
1128,The Cairo Trilogy
1129,Shoe Addict
1130,CHERUB
1131,Pigeon
1132,Eyeshield 21
1133,Graveminder
1134,Betrayed (The Brookehaven Vampires
1135,Riftwar Cycle: The Empire Trilogy
1136,The Airel Saga
1137,The Devouring
1138,Dark Secrets
1139,Daddy-Long-Legs
1140,Temeraire
1141,J.P. Beaumont
1142,Day by Day Armageddon
1143,House of Night
1144,Riverside Trilogy
1145,هي.. هكذا
1146,Complete Nathan Zuckerman
1147,Submissive
1148,Sexual Education
1149,Dear Diary
1150,The Perfectionists
1151,Harry Potter: A History of Magic Exhibition
1152,Memories of the Eagle and the Jaguar
1153,Revenants
1154,The Witch Hunter
1155,Star Wars: Republic Commando
1156,I Funny
1157,Treasure Hunters
1158,Mr. Lemoncello's Library
1159,The Conspiracy of Us
1160,Mythos Academy
1161,The Vine Witch
1162,The Black Witch Chronicles 
1163,The Chronicles of the Deryni
1164,The Sports Beat
1165,I Am Not Esther
1166,Breeds
1167,The Campus Trilogy
1168,Goosebumps
1169,De honderdjarige oorlog
1170,The Chronicles of the Black Company
1171,Cirque du Freak
1172,Black Swan Rising
1173,I Heart
1174,Darkness Falls 
1175,Alexandria Quartet
1176,Erast Fandorin Mysteries
1177,Vampires in America
1178,Marcus Didius Falco
1179,Eternal Guardians
1180,Jack Reacher
1181,Tao
1182,The Black Stallion
1183,Keep Me Still
1184,Dina
1185,Blood of Kings
1186,The Malediction Trilogy
1187,Hidden Legacy
1188,The Shadow Game
1189,A Series of Unfortunate Events
1190,"War and Peace, 4 Volumes"
1191,The Accursed Kings
1192,The Magister Trilogy
1193,Buffy the Vampire Slayer: Season 8
1194,The Persimmon Tree
1195,The Forsaken
1196,Dark Heart
1197,Avoiding 
1198,Deeper Than Desire
1199,I am a Cat
1200,Warriors Super Edition
1201,FBI/US Attorney
1202,Gargantua and Pantagruel
1203,The Alpha Group
1204,Druids
1205,Saving Mars
1206,The Familiars
1207,Three Acts of Penance
1208,Jaded
1209,Kindrily
1210,The Very Nearly Honorable League of Pirates
1211,53 Letters for My Lover
1212,Fixed
1213,Broken Love
1214,Lord Peter Wimsey
1215,Girl Online
1216,How to Build a Girl
1217,Fall Away
1218,Negotiator Trilogy/Old Races Universe
1219,Dom Wars
1220,Breakthrough
1221,Knights of Black Swan
1222,Wicked in Wellington
1223,The Secret History of the World
1224,Hainish Cycle
1225,Mitford Years
1226,The Tapestry
1227,The Coming Collapse
1228,Guntram de Lisle
1229,The Left Hand of God
1230,Warriors of Ankh
1231,Cardcaptor Sakura
1232,Gaea Trilogy
1233,Belmont Mansion
1234,Darkness Before Dawn Trilogy
1235,Magids
1236,World of Warcraft
1237,Cireşarii
1238,Ginny Davis
1239,Jan Fabel
1240,Canadian West
1241,The Rising
1242,Angel
1243,The Dark God's Bride
1244,Defiance
1245,Asylum
