"book_id","book_title","nb_of_pages","book_description","settings","isbn","isbn13","original_title","review_count","one_star_rating","two_star_rating","three_star_rating","four_star_rating","five_star_rating"
"16152916","Earth Flight","390","It's time to risk it all! The thrilling conclusion to Janet Edward's sensational debut YA sci-fi trilogy. Jarra never wanted to be a celebrity. All she ever wanted was to gain some respect for the people left on Earth: the unlucky few whose immune system prevents them from portalling to other planets. Except now she's the most famous Earth girl in the universe – but not every It's time to risk it all! The thrilling conclusion to Janet Edward's sensational debut YA sci-fi trilogy. Jarra never wanted to be a celebrity. All she ever wanted was to gain some respect for the people left on Earth: the unlucky few whose immune system prevents them from portalling to other planets. Except now she's the most famous Earth girl in the universe – but not everyone in the universe is happy about it, nor the fact that she has found love with a norm. Jarra's actions have repercussions that spread further than she ever could have imagined, and political unrest threatens to tear apart the delicate balance of peace between humanity's worlds. On top of everything, the first alien artefact ever discovered appears to be waiting for Jarra to reveal its secrets. But to do so, she must somehow find a way to leave Earth – or else the alien artefact will be lost forever. Is there a way for Jarra to travel to another planet? Or is her destiny only to look to the stars – but never to reach them?","","000744351X","9780007443512","Earth Flight","163","15","44","196","427","729"
"12946946","لوعة الغاوية","443","While some breathe life without taste, there are those who are burned by the hell of love, mortgaging their lives to long misery, marginalizing the important events around them, and celebrating the distant and bitter memory. Thus, for years, they spend it in brokenness and disappointment, hoping to extinguish the fire of loss. The novel, The Anguish of the Seductress, screams, "He who does not love lives dead..." Its narration is contested by two voices suffering from love, each waiting for salvation from imminent destruction. As if this anguish in the two voices reveals, while some breathe life without taste, there are those who are burned by the hell of love, mortgaging their lives to long misery, marginalizing the important events around them, and celebrating the distant and bitter memory. Thus, for years, they spend it in brokenness and disappointment, hoping to extinguish the fire of loss. The novel, The Anguish of the Seductress, criecriess out, “He who does not love lives dead.” Its story is told by two voices struggling with love, each waiting for salvation from imminent destruction. It is as if this anguish in the two voices reveals to us broken characters, one of whom travels in search of the lover, even if it means blood, while she waits for him with longing, and the other postpones all the details of her life for the sake of a lost love, which was the whole reason for her existence, but her confusion awaits the impossible...","","","","لوعة الغاوية","170","58","91","204","243","231"
"659546","Promise Not to Tell","250","Forty-one-year-old school nurse Kate Cypher has returned home to rural Vermont to care for her mother who's afflicted with Alzheimer's. On the night she arrives, a young girl is murdered—a horrific crime that eerily mirrors another from Kate's childhood. Three decades earlier, her dirt-poor friend Del—shunned and derided by classmates as "Potato Girl"—was brutally slain. D Forty-one-year-old school nurse Kate Cypher has returned home to rural Vermont to care for her mother who's afflicted with Alzheimer's. On the night she arrives, a young girl is murdered—a horrific crime that eerily mirrors another from Kate's childhood. Three decades earlier, her dirt-poor friend Del—shunned and derided by classmates as "Potato Girl"—was brutally slain. Del's killer was never found, while the victim has since achieved immortality in local legends and ghost stories. Now, as this new murder investigation draws Kate irresistibly in, her past and present collide in terrifying, unexpected ways. Because nothing is quite what it seems . . . and the grim specters of her youth are far from forgotten. More than just a murder mystery, Jennifer McMahon's extraordinary debut novel, Promise Not to Tell, is a story of friendship and family, devotion and betrayal—tautly written, deeply insightful, beautifully evocative, and utterly unforgettable.","","61143316","9780061143311","Promise Not to Tell","1687","222","1338","5089","5896","2849"
"10603241","After Obsession","305","There she is. The dream rushes back to me. We were falling, clutching at each other, with twisting darkness all around us... The girl looks up at me and I realize I've stopped walking and am staring at her.   something like recognition. And in that second I know, absolutely  , that something in my life has changed irrevocably.  There she is. The dream rushes back to me. We were falling, clutching at each other, with twisting darkness all around us... The girl looks up at me and I realize I've stopped walking and am staring at her.   something like recognition. And in that second I know, absolutely  , that something in my life has changed irrevocably.   Right here. And we are going to have to do something, save something, together. I just don't know what. Alan and Aimee have just met, but already they are   by something they can't quite name. Something that rattles the windows, haunts the waters... and threatens to tear them apart before criesthey get a chance to find out what their connection means.","Maine(United States)","1599906813","9781599906812","After Obsession","521","241","472","1311","1341","1457"
"20758981","قصة الحضارة: عصر نابوليون #5","168","This is the "Dar Al Fikr - Beirut" edition, and it is the last Arabic edition issued so far, in 47 parts in 23 volumes, in addition to a special volume for indexes written by Professor Muhammad Abdul Rahim with a special introduction and a biography of the philosopher "Will Durant", author of the most famous encyclopedia in the twentieth century. A huge historical encyclopedia book written by the American philosopher and historian "Will Durant" and his wife "Ariel Durant". It is an encyclopedia in the philosophy of history, and its author spent dozens of years studying this book. This is the "Dar Al Fikr - Beirut" edition, and it is the last Arabic edition issued so far, in 47 parts in 23 volumes, in addition to a special volume for indexes written by Professor Muhammad Abdul Rahim with a special introduction and a biography of the philosopher "Will Durant", author of the most famous encyclopedia in the twentieth century. A huge historical encyclopedia book written by the American philosopher and historian "Will Durant" and his wife "Ariel Durant". It is an encyclopedia in the philosophy of history that its author spent decades preparing. He read dozens of books and traveled all over the world from East to West more than once over a period of 40 years from 1935 to 1975. The reader is sufficient as evidence of the effort he made in preparing for it to look at the list of general and specific references that we have included at the end of each of these parts. He initially intended for this series to be in five volumes, but the research branched out and the material became more abundant, so he increased it to seven, then it exceeded this number that he had finally estimated for it, so he decided to make it in 11 volumes. It talks about the story of all human civilizations from their beginnings until the era of Napoleon, and is characterized by objectivity and the scientific method. In conclusion, this series is an indispensable scientific treasure for the Arab library and for lovers of history, philosophy, literature, science, art, society, and all the components of civilization. Arabic translation: The book was translated into Arabic and published by the Arab League Educational, Cultural and Scientific Organization, affiliated with the League of Arab States, and Dar Al-Jeel in Beirut in 1988. The Arabic version consists of 42 parts in 24 volumes, and was translated by a group of elite professors in philosophy, history and science.","","","","The Age of Napoleon (The Story Of Civilization #11)","3","1","0","2","3","9"
"18513814","Don't Become Angry","51","Much of the flaws that afflict the individual and the community stem from the singular defect of Anger. Allah (Glorified and Exalted is He). and His Messenger (Peace be upon him) have given us instructions regarding the malady and advised us to keep it in check. This work is an extensive discussion on these instructions. We hope that this concise work will aid the one who  Much of the flaws that afflict the individual and the community stem from the singular defect of Anger. Allah (Glorified and Exalted is He). and His Messenger (Peace be upon him) have given us instructions regarding the malady and advised us to keep it in check. This work is an extensive discussion on these instructions. We hope that this concise work will aid the one who is afflicted with this flaw to find cure in, Insha Allah; while the one who is free of it will find enough incentives to keep his emotions under control.","","","","","8","4","2","9","27","88"cries
"100317","Happy Birthday, Kit: A Springtime Story","69","Kit's tenth birthday is approaching, but the chances of having a celebration are pretty slim. There's no time to plan a party and no money either, since Dad still doesn't have a job. When Aunt Millie comes for a visit, Kit finds new reasons to hope. With her thriftiness and good ideas, Aunt Millie seems to be able to do anything — but usually in the most unexpected way!","","1584850221","9781584850229","Happy Birthday Kit: A Springtime Story (American Girls: Kit, #4)","52","14","82","484","578","791"
"2929240","Осенние визиты","413","The War of Light and Darkness is not only between the Watches. One day, ordinary people will be drawn into it. The future fate of our world depends on them. But in this new war, light does not mean Good, and Darkness does not mean Evil. Whose side to fight on?","","5170368127","","Осенние визиты","8","28","68","148","167","164"
"1569144","Penguin Revolution: Volume 1","191","Yukari Fujimaru has a magical ability to see talent in others. Now she uses this gift to become a manager for a competitive talent agencyunder the condition that she convinces everyone shes really a guy! The battle is on as the Peacock agency finds itself under attack by rival Yasuoka Productions. The ambitious Noriko Kano is ready to use any means necessary to put her age Yukari Fujimaru has a magical ability to see talent in others. Now she uses this gift to become a manager for a competitive talent agencyunder the condition that she convinces everyone shes really a guy! The battle is on as the Peacock agency finds itself under attack by rival Yasuoka Productions. The ambitious Noriko Kano is ready to use any means necessary to put her agency back on top, even if it means exploiting a relative of Peacocks star client Ayaori Mashiba. Peacocks President is going to have to draft Yukari into this battle to have a shot at winning this war.","","1401211305","9781401211301","ペンギン 革命, 1","30","36","103","339","420","631"
"9476292","Tolstoy and the Purple Chair: My Year of Magical Reading","241","After the death of her sister, Nina Sankovitch found herself caught up in grief, dashing from one activity to the next to keep her mind occupied. But on her forty-sixth birthday she decided to stop running and start reading. Catalyzed by the loss of her sister, a mother of four spends one year savoring a great book every day, from Thomas Pynchon to Nora Ephron and beyond. I After the death of her sister, Nina Sankovitch found herself caught up in grief, dashing from one activity to the next to keep her mind occupied. But on her forty-sixth birthday she decided to stop running and start reading. Catalyzed by the loss of her sister, a mother of four spends one year savoring a great book every day, from Thomas Pynchon to Nora Ephron and beyond. In the tradition of Gretchen Rubin's The Happiness Project and Joan Dideon's A Year of Magical Thinking, Nina Sankovitch's soul-baring and literary-minded memoir is a chronicle of loss,hope, and redemption. Nina ultimately turns to reading as therapy and through her journey illuminates the power of books to help us reclaim our lives.","","61999849","9780061999840","Tolstoy and the Purple Chair: My Year of Magical Reading","1162","181","640","1612","1631","994"
"7224904","Lee's Lieutenants: A Study In Command","832","Douglas Southall Freeman. Lee's Lieutenants. 3 Volume Set. New York: Charles Scribner's Sons, [1970-1971]. Later editions. Three octavo volumes. Publisher's binding and dust jacket.Folding map at rear of volume 3.  All unquestioned masterpiecc of the historian's art, and a towering landmark in the literature of the American Civil War."Lee's Lieutenants: A Study in Command"  Douglas Southall Freeman. Lee's Lieutenants. 3 Volume Set. New York: Charles Scribner's Sons, [1970-1971]. Later editions. Three octavo volumes. Publisher's binding and dust jacket.Folding map at rear of volume 3.  All unquestioned masterpiecc of the historian's art, and a towering landmark in the literature of the American Civil War."Lee's Lieutenants: A Study in Command" is the most colorful and popular of all of Douglas Southall Freeman's works; it is generally considered the most penetrating study ever written of military personalities and tactics during the American Civil War. A sweeping narrative that presents a multiple biography against the flame-shot background of history, it is the story of the great figures of the Army of Northern Virginia who fought under Robert E. Lee as they came forward on the stage of war. In this first volume, "Manassas to Malvern Hill," Dr. Freeman describes the rise and fall of General Beauregard, the growing friction between Jefferson Davis and Joseph E. Johnston, the emergence and failure of a number of military charlatans, and the first display of ability on the part of some new men at a time when the organization developed at Manassas collapsed at Seven Pines. The narrative illumines the rise of "Stonewall" Jackson and traces his progress in the Shenandoah Valley campaign and into Richmond amid the acclaim of the South, accompanies him through the failures during the Seven Days, and then leaves him, with the new army entirely organized, in the center of the stage of history. "Manassas to Malvern Hill" is the first volume of a three-volume work. In the second volume, the men whose reputations were made, or lost, on such fields as Manassas at the second battle of Bull Run, Antietam, Fredericksburg, and Chancellorsville dominate the narrative; volume three depicts the Gettysburg campaign and the thunder signaling the ruin of the Confederacy.","","","","Lee's Lieutenants: A Study In Command (Volume I: Manassas to Malvern Hill)","11","3","7","41","127","229"
"2483910","Stealing Bradford","218","The Carter House girls are just getting to know one another when the subject of boys comes up. Rhiannon's dating Bradford, the most popular jock in school, Eliza's seeing Harry, and even DJ has dated Conner, although now he acts as if he doesn't like her. Boys aren't always easy to understand, but every girl in the house wants a boyfriend—and will do just about anything to The Carter House girls are just getting to know one another when the subject of boys comes up. Rhiannon's dating Bradford, the most popular jock in school, Eliza's seeing Harry, and even DJ has dated Conner, although now he acts as if he doesn't like her. Boys aren't always easy to understand, but every girl in the house wants a boyfriend—and will do just about anything to get one. So when Taylor decides to put the moves on Bradford, Rhiannon is shocked and hurt. Mistakes are made and feelings battered … there is forgiveness for some and bitterness for others … but at the end of the day, the girls learn a valuable lesson about what it means to be a family.","","310714893","9780310714897","Stealing Bradford","61","33","85","306","343","345"
"16151527","La séduction du Highlander","311","In medieval Scotland, morals are sometimes merciless. Rejected by her clansmen, Keeley McDonald has been betrayed by all those she loved. However, her heart is pure and noble. So, when she sees a warrior between life and death, she takes him in, cares for him, then succumbs to temptation. Exquisite caresses, passionate embraces, the handsome Hi In medieval Scotland, morals are sometimes merciless. Rejected by her clansmen, Keeley McDonald has been betrayed by all those she loved. However, her heart is pure and noble. So, when she sees a warrior between life and death, she takes him in, cares for him, then succumbs to temptation. Exquisite caresses, passionate embraces, the handsome Highlander bewitches her. And puts her in immense danger…","Scottish Highlands","2290056944","9782290056943","Seduction of a Highland Lass","1350","187","692","3615","7641","9335"
"803982","The Talking Eggs: A Folktale from the American South","32","A Southern folktale in which kind Blanche, following the instructions of an old witch, gains riches, while her greedy sister makes fun of the old woman and is duly rewarded.","","803706197","9780803706194","The Talking Eggs: A Folktale from the American South","328","59","150","767","1488","2758"
"285672","Heckedy Peg","32","In this story, seven sweet children are transformed by an evil witch into specific types of food. "The inherent drama of the story, combined with the haunting images the art provides, gives the picture book a timeless quality."--","","152336796","9780152336790","Heckedy Peg","307","63","120","525","1057","2181"
"16085254","The World God Only Knows 16","","NaN","","","","","2","2","5","28","55","69"
"22537367","Summer of Sloane","304","Warm Hawaiian sun. Lazy beach days. Flirty texts with her boyfriend back in Seattle. These are the things seventeen-year-old Sloane McIntyre pictured when she imagined the summer she'd be spending at her mom's home in Hawaii with her twin brother, Penn. Instead, after learning an unthinkable secret about her boyfriend, Tyler, and best friend, Mick, all she has is a fracture Warm Hawaiian sun. Lazy beach days. Flirty texts with her boyfriend back in Seattle. These are the things seventeen-year-old Sloane McIntyre pictured when she imagined the summer she'd be spending at her mom's home in Hawaii with her twin brother, Penn. Instead, after learning an unthinkable secret about her boyfriend, Tyler, and best friend, Mick, all she has is a fractured hand and a completely shattered heart.   Once she arrives in Honolulu, though, Sloane hopes that Hawaii might just be the escape she needs. With beach bonfires, old friends, exotic food, and the wonders of a waterproof cast, there's no reason Sloane shouldn't enjoy her summer. And when she meets Finn McAllister, the handsome son of a hotel magnate who doesn't always play by the rules, she knows he's the perfect distraction from everything that's so wrong back home.   But it turns out a measly ocean isn't nearly enough to stop all the emails, texts, and voicemails from her ex-boyfriend and ex-best friend, desperate to explain away their betrayal. And as her casual connection with Finn grows deeper, Sloane's carefree summer might not be as easy to find as she'd hoped. Weighing years of history with Mick and Tyler against their deception, and the delicate possibility of new love, Sloane must decide when to forgive, and when to live for herself.","Honolulu, Hawaii(United States) Seattle, Washington(United States)","1484725255","9781484725252","Where the Water Falls","328","33","104","399","531","518"
"543880","Bad","192","Ray called it skating when we did the crazy things . . . Hot-wiring a fancy car for a joyride after midnight. Boosting stuff from stores . . . Sixteen-year-old Dallas loves the rush, the excitement of "skating." But then she and her friends decide to rob a convenience store and it's Dallas who gets caught whil Ray called it skating when we did the crazy things . . . Hot-wiring a fancy car for a joyride after midnight. Boosting stuff from stores . . . Sixteen-year-old Dallas loves the rush, the excitement of "skating." But then she and her friends decide to rob a convenience store and it's Dallas who gets caught while the others get away. Since it is her first offense, she thinks her father will help her out - but when the judge says she can go home on probation her father says no, he can't control her. So the judge gives Dallas six months in the Girls' Rehabilitation Center. Once there, Dallas meets an assortment of "bad" girls, many of whom don't expect to change, and those who do often don't make it. How Dallas comes to terms with herself - both the bad and the good - makes for a heartfelt and insightful novel about troubled teenagers and the odds they face in trying to turn their lives around.","","374404755","9780374404758","Bad","107","14","17","111","107","96"
